idade,deixou_a_empresa,viagem_trabalho,salario_diario,departamento,distancia_casa,nivel_educacional,nivel_educacional_nome,area_formacao,numero_funcionario,satisfacao_ambiente,satisfacao_ambiente_nome,genero,salario_hora,envolvimento_trabalho,envolvimento_trabalho_nome,nivel_cargo,cargo,satisfacao_trabalho,satisfacao_trabalho_nome,estado_civil,salario_mensal,taxa_mensal,num_empresas_anteriores,faz_hora_extra,aumento_salarial_pct,avaliacao_desempenho,avaliacao_desempenho_nome,satisfacao_relacionamentos,satisfacao_relacionamentos_nome,nivel_acoes,anos_experiencia_total,treinamentos_ultimo_ano,equilibrio_vida_trabalho,equilibrio_vida_trabalho_nome,anos_empresa,anos_cargo_atual,anos_desde_ultima_promocao,anos_com_gerente_atual
41,Sim,Viaja Raramente,1102,Vendas,1,2,faculdade,Ciências Biológicas,1,2,media,Feminino,94,3,alto,2,Executivo de Vendas,4,muito_alta,Solteiro(a),5993,19479,8,Sim,11,3,excelente,1,baixa,0,8,0,1,ruim,6,4,0,5
49,Não,Viaja Frequentemente,279,Pesquisa e Desenvolvimento,8,1,abaixo_faculdade,Ciências Biológicas,2,3,alta,Masculino,61,2,medio,2,Cientista Pesquisador,2,media,Casado(a),5130,24907,1,Não,23,4,excepcional,4,muito_alta,1,10,3,3,melhor,10,7,1,7
37,Sim,Viaja Raramente,1373,Pesquisa e Desenvolvimento,2,2,faculdade,Outro,4,4,muito_alta,Masculino,92,2,medio,1,Técnico de Laboratório,3,alta,Solteiro(a),2090,2396,6,Sim,15,3,excelente,2,media,0,7,3,3,melhor,0,0,0,0
33,Não,Viaja Frequentemente,1392,Pesquisa e Desenvolvimento,3,4,mestrado,Ciências Biológicas,5,4,muito_alta,Feminino,56,3,alto,1,Cientista Pesquisador,3,alta,Casado(a),2909,23159,1,Sim,11,3,excelente,3,alta,0,8,3,3,melhor,8,7,3,0
27,Não,Viaja Raramente,591,Pesquisa e Desenvolvimento,2,1,abaixo_faculdade,Medicina,7,1,baixa,Masculino,40,3,alto,1,Técnico de Laboratório,2,media,Casado(a),3468,16632,9,Não,12,3,excelente,4,muito_alta,1,6,3,3,melhor,2,2,2,2
32,Não,Viaja Frequentemente,1005,Pesquisa e Desenvolvimento,2,2,faculdade,Ciências Biológicas,8,4,muito_alta,Masculino,79,3,alto,1,Técnico de Laboratório,4,muito_alta,Solteiro(a),3068,11864,0,Não,13,3,excelente,3,alta,0,8,2,2,bom,7,7,3,6
59,Não,Viaja Raramente,1324,Pesquisa e Desenvolvimento,3,3,bacharelado,Medicina,10,3,alta,Feminino,81,4,muito_alto,1,Técnico de Laboratório,1,baixa,Casado(a),2670,9964,4,Sim,20,4,excepcional,1,baixa,3,12,3,2,bom,1,0,0,0
30,Não,Viaja Raramente,1358,Pesquisa e Desenvolvimento,24,1,abaixo_faculdade,Ciências Biológicas,11,4,muito_alta,Masculino,67,3,alto,1,Técnico de Laboratório,3,alta,Divorciado(a),2693,13335,1,Não,22,4,excepcional,2,media,1,1,2,3,melhor,1,0,0,0
38,Não,Viaja Frequentemente,216,Pesquisa e Desenvolvimento,23,3,bacharelado,Ciências Biológicas,12,4,muito_alta,Masculino,44,2,medio,3,Diretor de Produção,3,alta,Solteiro(a),9526,8787,0,Não,21,4,excepcional,2,media,0,10,2,3,melhor,9,7,1,8
36,Não,Viaja Raramente,1299,Pesquisa e Desenvolvimento,27,3,bacharelado,Medicina,13,3,alta,Masculino,94,3,alto,2,Representante de Saúde,3,alta,Casado(a),5237,16577,6,Não,13,3,excelente,2,media,2,17,3,2,bom,7,7,7,7
35,Não,Viaja Raramente,809,Pesquisa e Desenvolvimento,16,3,bacharelado,Medicina,14,1,baixa,Masculino,84,4,muito_alto,1,Técnico de Laboratório,2,media,Casado(a),2426,16479,0,Não,13,3,excelente,3,alta,1,6,5,3,melhor,5,4,0,3
29,Não,Viaja Raramente,153,Pesquisa e Desenvolvimento,15,2,faculdade,Ciências Biológicas,15,4,muito_alta,Feminino,49,2,medio,2,Técnico de Laboratório,3,alta,Solteiro(a),4193,12682,0,Sim,12,3,excelente,4,muito_alta,0,10,3,3,melhor,9,5,0,8
